key,value,remoteness
 XXX OOO ,Win,1
 O O XOX ,Tie,4
 OXO  XXO,Win,1
 XXO OXO ,Win,1
  OO XOX ,Lose,2
   X OXO ,Win,1
 O XOXOOX,Lose,0
  OXOXOOX,Lose,0
   OXOXXO,Win,1
 OXXO OOX,Lose,0
  XXOOOOX,Tie,2
  OOX XXO,Win,1
    OXXOO,Lose,2
 X O OXXO,Win,1
 OXX OOOX,Tie,2
 XOO  XXO,Win,1
  XO O XO,Win,2
  OO XXXO,Tie,3
   O XXOO,Tie,4
  XO OXXO,Win,1
  OX  OOX,Win,2
     OOXX,Win,3
 OOXOXXO ,Lose,0
  OOXOXX ,Win,1
   XOX OO,Lose,2
 XXO OOX ,Win,1
 O X X OO,Win,1
   X XOOO,Lose,0
  OX XOO ,Win,1
   O O XX,Win,1
  XOO OX ,Lose,2
  XO OOX ,Lose,2
  XX  OOO,Lose,0
  XX OOO ,Tie,4
  OX  XO ,Win,1
     O XO,Lose,4
OOXOOXXXO,Lose,0
 XOXXOOOX,Win,1
 XOOXXXOO,Tie,1
 O OOXXXO,Tie,2
  OXOOOXX,Lose,0
   XXOOOX,Win,1
X OOXXOXO,Win,1
 OXOO XXO,Lose,2
O XOO XXO,Lose,0
  OXX OOX,Win,1
OOOXOXXOX,Lose,0
X XOXOOXO,Win,1
 OXXOXO O,Lose,2
  XOXO XO,Win,1
O O OXXOX,Tie,2
  OOOXXOX,Tie,2
  X XOOXO,Win,1
    OOOXX,Lose,2
X XXXOOOO,Lose,0
 OOXO XXO,Win,1
O O OXOXX,Lose,0
  XOX OOX,Win,1
  OOXOX X,Win,1
O OOOXX X,Win,1
X X XOO O,Win,1
  O O XXO,Lose,2
 OOXO OXX,Lose,0
  OXXO OX,Win,1
  XXXO OO,Win,1
O XOOXX O,Lose,0
  OXXOO X,Win,1
  XXXOO O,Tie,3
  OOOX  X,Tie,4
  O O OXX,Lose,0
    X XOO,Win,1
 X OXO OX,Win,1
 OXXOOOX ,Tie,2
  OOXXXO ,Tie,3
   OOX XO,Tie,4
  OXO OX ,Lose,0
    XO OX,Win,1
 O OXOX X,Win,1
 XOXO XOO,Win,1
 OXOX O X,Win,1
  OXO  XO,Lose,2
 XOOX  OX,Win,1
  XXXOOO ,Tie,3
  OOOX X ,Tie,4
  O OXOX ,Lose,0
    XOXO ,Win,1
 X OXOX O,Win,1
 OXXOOO X,Tie,2
 XOOX X O,Win,1
  XOO  XO,Lose,2
  OOXXX O,Tie,3
   OOXX O,Tie,4
  OXO O X,Lose,0
    XOO X,Win,1
  XOXOOX ,Win,1
  OXOX O ,Lose,2
   XOXO O,Lose,2
  OXOXO  ,Lose,0
   OXO  X,Win,1
  O OXXO ,Tie,4
  XXO O O,Lose,2
  OOOXX  ,Tie,4
  X XOO  ,Win,3
    O  XO,Lose,4
X XXOOOXO,Win,1
 OOOX XXO,Lose,2
O O XOOXX,Win,1
  XXO OOX,Win,1
 XOO OX X,Win,1
O OO XXOX,Tie,2
X X  OOXO,Win,1
  OO  XXO,Lose,4
 XXOOXXOO,Win,1
XXOX OOOX,Win,1
 OOX OOXX,Lose,2
 X X OOOX,Win,3
X OOOXOXX,Lose,0
  OOXXOOX,Win,1
  XXOO XO,Win,2
O XX OXOO,Win,1
 XOX  OOX,Win,2
  XX OOXO,Win,3
  OO X OX,Lose,4
  XO XXOO,Win,1
  X OXXOO,Lose,2
X OX  OOX,Win,1
  O  OOXX,Win,2
     XXOO,Win,3
 OOXXOOX ,Lose,2
 X XOO OX,Win,3
 XOO XXO ,Tie,3
 O O X XO,Tie,4
  XOOXXO ,Win,1
 XXO  XOO,Win,1
  OX OOX ,Lose,2
   X O OX,Win,3
 X OOOX X,Lose,0
 OXXXOO O,Tie,2
 XOOO X X,Win,1
  OOX  XO,Win,1
 OOXXOO X,Win,1
 X XOOO X,Tie,3
  XXOOOX ,Tie,3
  OOXX O ,Tie,4
 XXOO X O,Win,1
  O XOOX ,Win,1
    OXXO ,Tie,5
 XOO XX O,Tie,3
 O O XX O,Tie,4
 OOX  O X,Lose,2
  OX   OX,Win,3
 O X XO O,Win,1
  XO O X ,Win,2
 OXX  O O,Tie,4
  OO XXO ,Tie,4
  X  OOX ,Win,3
     OOX ,Tie,6
O OOXXO X,Lose,0
  OXOOX X,Win,1
 XXO  OOX,Win,1
X XX OO O,Win,1
  XO XO O,Lose,2
X X O XOO,Win,1
X X  OXOO,Win,1
O O   OXX,Lose,2
  X   OOX,Win,1
 XXOO  OX,Win,1
  OOOXX X,Win,1
   OXXO O,Lose,2
 OXOO X X,Win,1
  OXX O O,Win,1
    OOX X,Win,1
 OXO  OXX,Win,1
 OOX   XO,Lose,2
 XOX  O O,Lose,2
  XO   OX,Win,1
   O OX X,Win,1
  XX OO O,Tie,4
  OO  X X,Win,1
     XO O,Lose,4
  XXOOX O,Win,1
X OX OO X,Win,1
  OO XO X,Lose,2
  XX O  O,Win,3
  XOOXX O,Tie,3
  OOXXO  ,Tie,4
   XOO  X,Win,3
  XX O O ,Win,3
  OX OO X,Tie,4
   X OO X,Tie,5
  XX OO  ,Tie,5
   O X  O,Tie,6
  X   XOO,Win,1
  XO  XO ,Win,1
  X O XO ,Tie,5
  X  OXO ,Win,1
  XO  X O,Win,1
  XO OX  ,Win,1
  O   OX ,Tie,6
       OX,Win,5
  OXXOXOO,Lose,0
 XOOOXOXX,Lose,0
 XXXOXOOO,Lose,0
 O OXXOOX,Win,1
   XOOXXO,Win,1
  O OXOXX,Lose,0
 XXOOXOXO,Win,1
 OOXXO OX,Win,1
  OOOX XX,Win,1
XXOXO OXO,Lose,0
  XOXOOOX,Win,1
O XOX OOX,Lose,0
 OOOXOX X,Win,1
  OXO XXO,Win,1
    XOXOO,Win,1
  OXO OXX,Lose,0
  XOOX XO,Tie,3
O O XOXOX,Tie,2
X OXOXOXO,Lose,0
  OOXOXOX,Win,1
  X OXOXO,Tie,3
    XOOOX,Win,1
X XXOXOOO,Lose,0
 OOXX XOO,Win,1
  XOO OXX,Win,1
O OOXOX X,Win,1
X X OXO O,Win,1
  O X XOO,Tie,4
  XXOX OO,Lose,2
  OXOXO X,Lose,0
  XXOXO O,Lose,2
  OOXO  X,Win,1
X O O OXX,Lose,0
  O X OOX,Win,1
    O XXO,Tie,5
 OOOXXOXX,Win,1
XXOXX OOO,Lose,0
  XXOOXOO,Win,1
XXOX XOOO,Lose,0
 OXX OXOO,Win,1
  OO XOXX,Lose,2
 XXOXXOOO,Lose,0
 OOXOO XX,Win,1
 XXO X OO,Win,1
  OX OXXO,Lose,0
   O XOOX,Win,1
 OXXO XOO,Lose,0
  OOX OXX,Win,1
  XOXX OO,Win,1
  X XXOOO,Lose,0
    OXOOX,Win,1
X X  XOOO,Lose,0
  OX  XOO,Win,1
 XOO  OXX,Win,1
  XX XOOO,Lose,0
  OO O XX,Win,1
     OXXO,Lose,3
OOXOO X X,Win,1
OOXO  XOX,Win,1
XXOX  O O,Lose,2
  X  OXOO,Win,1
X OXXOOXO,Lose,0
 OXXOOX O,Win,1
  OOXXO X,Win,1
O XOO XOX,Win,1
O XOOOX X,Lose,0
X OXX O O,Win,1
  X O XOO,Lose,2
 XOO XO X,Lose,2
O XO OXOX,Win,1
X OX  OXO,Lose,2
  XO  XOO,Win,1
X OX XO O,Win,1
  XO OX O,Win,1
O X   XOO,Win,1
  O   OXX,Win,2
 OOXOOX X,Win,1
 OOX OXOX,Win,1
 XXO XO O,Win,1
  XX O OO,Win,2
  OXOOXOX,Win,1
  XOXXO O,Lose,2
  OXOO  X,Win,2
  XO XOXO,Tie,3
  OX O OX,Win,3
  XO X  O,Tie,5
  XO  OOX,Win,1
  O OOX X,Win,1
  O  OXOX,Win,3
O O  OX X,Win,1
  OO OX X,Win,1
  X  XO O,Lose,4
      OOX,Win,4
 XXOO  XO,Win,1
O XOXOO X,Lose,0
 OOOX XOX,Win,1
  OXOXX O,Win,1
   OXOO X,Win,1
  O XOX O,Lose,0
 OOXXOX O,Lose,0
 X XOOX O,Win,1
 XXXO O O,Win,1
  XOX  OO,Win,1
  OOX O X,Win,1
    OXO X,Win,1
 XXOX  OO,Win,1
  OXXOX O,Lose,0
   OOXO X,Win,1
  OX OX O,Lose,0
 XXX  OOO,Lose,0
 O O XO X,Win,1
   X OX O,Win,1
 OOXO XOX,Lose,0
 XXOX O O,Win,1
  XXO  OO,Lose,2
 XXO  OXO,Win,1
 OOX   OX,Lose,2
  OO   XX,Win,1
  XOO O X,Win,1
  XO OO X,Lose,2
O XO  O X,Lose,0
 OOO  X X,Win,1
  OX  X O,Win,1
     OX O,Lose,3
X X X OOO,Lose,0
  OXO X O,Win,1
 XOOX O X,Win,1
  XXX OOO,Lose,0
  OOO  XX,Win,1
    XOX O,Win,1
O X OOXOX,Lose,2
X O X OXO,Win,1
  XOO X O,Lose,2
O X O X O,Lose,0
  O X O X,Win,1
  XOX OXO,Win,1
  OXO  OX,Lose,2
  XOX   O,Win,1
  O O XOX,Tie,4
O O O X X,Win,1
  OOO X X,Win,1
  X X O O,Tie,5
    O O X,Tie,6
X X O OXO,Win,1
  OOX X O,Tie,4
 XOXO O X,Lose,0
  XXO OXO,Tie,3
  OOX  OX,Win,1
    OXX O,Tie,5
X O  XOXO,Win,2
 OXO  X O,Win,1
  OX  O X,Win,2
  XO   XO,Win,3
O O   XOX,Tie,4
  OO  XOX,Tie,4
  X   OXO,Win,3
     OO X,Tie,6
 XXOO O X,Win,1
  XOX O O,Lose,2
O O X O X,Lose,2
  X O O X,Win,1
 OOX  X O,Win,1
  XO  O X,Win,1
X X   O O,Win,1
  O   X O,Lose,4
  XXO   O,Win,2
  XX   OO,Win,2
  XX  O O,Tie,5
  OO    X,Tie,6
  X O X O,Win,2
X O   O X,Win,1
  O   O X,Lose,3
      X O,Win,4
 XXOOX O ,Win,1
 OOOXOXX ,Win,1
  OXOOXX ,Win,1
   OXXOO ,Lose,2
  OXX  OO,Win,1
  XXOXOO ,Win,1
  OOXO X ,Win,1
    OOXX ,Win,1
  OXXO  O,Lose,0
  XOOXOX ,Win,1
  OXXO O ,Tie,4
   XOOX  ,Win,1
  XOX OO ,Lose,2
  O XOXO ,Tie,4
  OOXOX  ,Win,3
  X OXO  ,Win,1
    X  OO,Tie,6
  XOO   X,Win,1
    X O O,Tie,6
  XXO  O ,Tie,5
  OOX XO ,Tie,4
  X O OX ,Tie,5
    XOO  ,Tie,6
  O X O  ,Tie,6
    O   X,Tie,7
 OOXOOXX ,Win,1
 XXO XOO ,Win,1
 OOX O X ,Lose,2
  XOXXOO ,Win,1
  OXOO X ,Lose,2
  XO X O ,Win,1
  XO XOO ,Win,1
  O OOXX ,Win,1
  OO OXX ,Win,1
  X  XOO ,Win,1
     XOO ,Win,4
  OXOOX  ,Win,1
  OX OXO ,Win,1
  XO XO  ,Win,1
   O XO  ,Tie,6
  XOX  O ,Win,1
  OOO XX ,Win,1
  X X OO ,Win,2
    OXO  ,Lose,3
  OX    O,Lose,3
  XX  OO ,Win,2
  OO   X ,Tie,6
     OX  ,Win,4
  O  OX  ,Win,5
  O O X  ,Tie,6
  O   XO ,Tie,6
  X   O  ,Win,5
        O,Tie,8
 O OOXXOX,Lose,0
   XXOOXO,Win,1
  XOOOXOX,Lose,0
  O XXOXO,Win,1
 OXXOO OX,Lose,0
  OOXX XO,Win,1
 OXOO XOX,Lose,0
  OXX OXO,Win,1
    OOXOX,Lose,2
 XOXOXOXO,Lose,0
 O OXOXOX,Win,1
   XOXOXO,Lose,2
XOXOOOXOX,Lose,0
OXOX XOXO,Win,1
 OXO OXOX,Win,1
  OX XOXO,Win,1
 XOO X XO,Win,1
   O OXOX,Win,3
  OXOX XO,Lose,2
 X X OOXO,Win,1
 XOX  OXO,Win,1
  XO O OX,Win,3
     XOXO,Win,3
 X XOOOX ,Tie,3
  OXOXOX ,Lose,0
   OXO OX,Win,1
    OX XO,Tie,5
 XOOXX O ,Tie,3
 OXOOOXX ,Lose,0
  OXXOOX ,Win,1
   OOXXO ,Tie,4
 XOX XOO ,Win,1
 O O XXO ,Tie,4
   X OOX ,Tie,5
  XOO XO ,Lose,2
  XO OXO ,Win,1
  OX  OX ,Win,2
     O OX,Tie,6
  XOOO  X,Lose,0
    X OXO,Win,1
  OXXO XO,Lose,0
 X XXOOO ,Tie,3
  OOXXOX ,Win,1
   OOX OX,Win,1
   OOO XX,Lose,0
    XX OO,Win,1
  XOOO X ,Lose,0
    XOOX ,Win,1
 X XXOO O,Win,1
 XOXX O O,Win,1
  XOO  OX,Win,1
   OOOX X,Lose,0
    XXO O,Win,1
  XXOO O ,Tie,4
   XXOO  ,Tie,5
  X OOXO ,Lose,2
  XOOOX  ,Lose,0
  O X OX ,Win,1
    O  OX,Tie,6
 X XOX OO,Lose,2
 X X XOOO,Lose,0
 O O O XX,Win,1
   X O XO,Win,2
 X XOXO O,Lose,2
  XOXO O ,Win,1
    OXOX ,Tie,5
 O O OX X,Win,1
  OX   XO,Lose,4
  OO X X ,Tie,5
  O  XOX ,Win,2
     OXO ,Win,5
  OX X  O,Win,1
   X X OO,Win,1
   XOX  O,Lose,4
  OX X O ,Win,1
   X XO O,Win,1
  OX XO  ,Win,1
   O O  X,Win,2
       XO,Tie,7
 O XOX O ,Lose,0
   OXO X ,Win,1
 X XXO OO,Lose,2
  XOOX O ,Win,1
    XXOO ,Win,1
 O OOX X ,Win,3
   XXO O ,Win,3
  OXX  O ,Win,1
    OO X ,Lose,4
 O OXO X ,Win,3
   XOO X ,Win,3
  OX O X ,Win,5
 X X O O ,Win,3
   O X O ,Tie,6
   XOX O ,Lose,4
 X O O X ,Win,1
   O O X ,Win,2
     X O ,Win,5
  OXO  X ,Win,3
    XO O ,Tie,6
   OXO   ,Win,5
    O  X ,Tie,7
   XXO  O,Tie,5
  OXX   O,Win,1
    OOX  ,Tie,6
  XO   O ,Win,5
     XO  ,Win,4
   OOX   ,Tie,6
   X O   ,Tie,7
       O ,Tie,8
    X   O,Tie,7
    X  O ,Win,4
    O    ,Tie,8
         ,Tie,9
