key,value,remoteness
_XOXO_OOX,Lose,0
__OOXX_OX,Win,1
_X_XOXOOO,Lose,0
_OOXOXOX_,Lose,0
_XXOXO_O_,Win,1
_XOXOOX_O,Lose,0
_OOOOXXX_,Win,1
__OXXOXO_,Win,1
___OOXOX_,Lose,2
__OX_O_XO,Lose,0
_XOX_OOOX,Tie,2
_XOO_X_OX,Tie,3
_XOX_OXOO,Lose,0
_XXX_OOO_,Win,1
_O_O_XOX_,Tie,4
_OXO__XXO,Win,1
_XXO_OXO_,Win,1
__OO_XOX_,Lose,2
___X_OXO_,Win,1
_O_XOXOOX,Lose,0
__OXOXOOX,Lose,0
___OXOXXO,Win,1
_OXXO_OOX,Lose,0
__XXOOOOX,Tie,2
__OOX_XXO,Win,1
____OXXOO,Lose,2
_X_O_OXXO,Win,1
_OXX_OOOX,Tie,2
_XOO__XXO,Win,1
__XO_O_XO,Win,2
__OO_XXXO,Tie,3
___O_XXOO,Tie,4
__XO_OXXO,Win,1
__OX__OOX,Win,2
_____OOXX,Win,3
_OOXOXXO_,Lose,0
__OOXOXX_,Win,1
___XOX_OO,Lose,2
_XXO_OOX_,Win,1
_O_X_X_OO,Win,1
___X_XOOO,Lose,0
__OX_XOO_,Win,1
___O_O_XX,Win,1
__XOO_OX_,Lose,2
__XO_OOX_,Lose,2
__XX__OOO,Lose,0
__XX_OOO_,Tie,4
__OX__XO_,Win,1
_____O_XO,Lose,4
OOXOOXXXO,Lose,0
_XOXXOOOX,Win,1
_XOOXXXOO,Tie,1
_O_OOXXXO,Tie,2
__OXOOOXX,Lose,0
___XXOOOX,Win,1
X_OOXXOXO,Win,1
_OXOO_XXO,Lose,2
O_XOO_XXO,Lose,0
__OXX_OOX,Win,1
OOOXOXXOX,Lose,0
X_XOXOOXO,Win,1
_OXXOXO_O,Lose,2
__XOXO_XO,Win,1
O_O_OXXOX,Tie,2
__OOOXXOX,Tie,2
__X_XOOXO,Win,1
____OOOXX,Lose,2
X_XXXOOOO,Lose,0
_OOXO_XXO,Win,1
O_O_OXOXX,Lose,0
__XOX_OOX,Win,1
__OOXOX_X,Win,1
O_OOOXX_X,Win,1
X_X_XOO_O,Win,1
__O_O_XXO,Lose,2
_OOXO_OXX,Lose,0
__OXXO_OX,Win,1
__XXXO_OO,Win,1
O_XOOXX_O,Lose,0
__OXXOO_X,Win,1
__XXXOO_O,Tie,3
__OOOX__X,Tie,4
__O_O_OXX,Lose,0
____X_XOO,Win,1
_X_OXO_OX,Win,1
_OXXOOOX_,Tie,2
__OOXXXO_,Tie,3
___OOX_XO,Tie,4
__OXO_OX_,Lose,0
____XO_OX,Win,1
_O_OXOX_X,Win,1
_XOXO_XOO,Win,1
_OXOX_O_X,Win,1
__OXO__XO,Lose,2
_XOOX__OX,Win,1
__XXXOOO_,Tie,3
__OOOX_X_,Tie,4
__O_OXOX_,Lose,0
____XOXO_,Win,1
_X_OXOX_O,Win,1
_OXXOOO_X,Tie,2
_XOOX_X_O,Win,1
__XOO__XO,Lose,2
__OOXXX_O,Tie,3
___OOXX_O,Tie,4
__OXO_O_X,Lose,0
____XOO_X,Win,1
__XOXOOX_,Win,1
__OXOX_O_,Lose,2
___XOXO_O,Lose,2
__OXOXO__,Lose,0
___OXO__X,Win,1
__O_OXXO_,Tie,4
__XXO_O_O,Lose,2
__OOOXX__,Tie,4
__X_XOO__,Win,3
____O__XO,Lose,4
X_XXOOOXO,Win,1
_OOOX_XXO,Lose,2
O_O_XOOXX,Win,1
__XXO_OOX,Win,1
_XOO_OX_X,Win,1
O_OO_XXOX,Tie,2
X_X__OOXO,Win,1
__OO__XXO,Lose,4
_XXOOXXOO,Win,1
XXOX_OOOX,Win,1
_OOX_OOXX,Lose,2
_X_X_OOOX,Win,3
X_OOOXOXX,Lose,0
__OOXXOOX,Win,1
__XXOO_XO,Win,2
O_XX_OXOO,Win,1
_XOX__OOX,Win,2
__XX_OOXO,Win,3
__OO_X_OX,Lose,4
__XO_XXOO,Win,1
__X_OXXOO,Lose,2
X_OX__OOX,Win,1
__O__OOXX,Win,2
_____XXOO,Win,3
_OOXXOOX_,Lose,2
_X_XOO_OX,Win,3
_XOO_XXO_,Tie,3
_O_O_X_XO,Tie,4
__XOOXXO_,Win,1
_XXO__XOO,Win,1
__OX_OOX_,Lose,2
___X_O_OX,Win,3
_X_OOOX_X,Lose,0
_OXXXOO_O,Tie,2
_XOOO_X_X,Win,1
__OOX__XO,Win,1
_OOXXOO_X,Win,1
_X_XOOO_X,Tie,3
__XXOOOX_,Tie,3
__OOXX_O_,Tie,4
_XXOO_X_O,Win,1
__O_XOOX_,Win,1
____OXXO_,Tie,5
_XOO_XX_O,Tie,3
_O_O_XX_O,Tie,4
_OOX__O_X,Lose,2
__OX___OX,Win,3
_O_X_XO_O,Win,1
__XO_O_X_,Win,2
_OXX__O_O,Tie,4
__OO_XXO_,Tie,4
__X__OOX_,Win,3
_____OOX_,Tie,6
O_OOXXO_X,Lose,0
__OXOOX_X,Win,1
_XXO__OOX,Win,1
X_XX_OO_O,Win,1
__XO_XO_O,Lose,2
X_X_O_XOO,Win,1
X_X__OXOO,Win,1
O_O___OXX,Lose,2
__X___OOX,Win,1
_XXOO__OX,Win,1
__OOOXX_X,Win,1
___OXXO_O,Lose,2
_OXOO_X_X,Win,1
__OXX_O_O,Win,1
____OOX_X,Win,1
_OXO__OXX,Win,1
_OOX___XO,Lose,2
_XOX__O_O,Lose,2
__XO___OX,Win,1
___O_OX_X,Win,1
__XX_OO_O,Tie,4
__OO__X_X,Win,1
_____XO_O,Lose,4
__XXOOX_O,Win,1
X_OX_OO_X,Win,1
__OO_XO_X,Lose,2
__XX_O__O,Win,3
__XOOXX_O,Tie,3
__OOXXO__,Tie,4
___XOO__X,Win,3
__XX_O_O_,Win,3
__OX_OO_X,Tie,4
___X_OO_X,Tie,5
__XX_OO__,Tie,5
___O_X__O,Tie,6
__X___XOO,Win,1
__XO__XO_,Win,1
__X_O_XO_,Tie,5
__X__OXO_,Win,1
__XO__X_O,Win,1
__XO_OX__,Win,1
__O___OX_,Tie,6
_______OX,Win,5
__OXXOXOO,Lose,0
_XOOOXOXX,Lose,0
_XXXOXOOO,Lose,0
_O_OXXOOX,Win,1
___XOOXXO,Win,1
__O_OXOXX,Lose,0
_XXOOXOXO,Win,1
_OOXXO_OX,Win,1
__OOOX_XX,Win,1
XXOXO_OXO,Lose,0
__XOXOOOX,Win,1
O_XOX_OOX,Lose,0
_OOOXOX_X,Win,1
__OXO_XXO,Win,1
____XOXOO,Win,1
__OXO_OXX,Lose,0
__XOOX_XO,Tie,3
O_O_XOXOX,Tie,2
X_OXOXOXO,Lose,0
__OOXOXOX,Win,1
__X_OXOXO,Tie,3
____XOOOX,Win,1
X_XXOXOOO,Lose,0
_OOXX_XOO,Win,1
__XOO_OXX,Win,1
O_OOXOX_X,Win,1
X_X_OXO_O,Win,1
__O_X_XOO,Tie,4
__XXOX_OO,Lose,2
__OXOXO_X,Lose,0
__XXOXO_O,Lose,2
__OOXO__X,Win,1
X_O_O_OXX,Lose,0
__O_X_OOX,Win,1
____O_XXO,Tie,5
_OOOXXOXX,Win,1
XXOXX_OOO,Lose,0
__XXOOXOO,Win,1
XXOX_XOOO,Lose,0
_OXX_OXOO,Win,1
__OO_XOXX,Lose,2
_XXOXXOOO,Lose,0
_OOXOO_XX,Win,1
_XXO_X_OO,Win,1
__OX_OXXO,Lose,0
___O_XOOX,Win,1
_OXXO_XOO,Lose,0
__OOX_OXX,Win,1
__XOXX_OO,Win,1
__X_XXOOO,Lose,0
____OXOOX,Win,1
X_X__XOOO,Lose,0
__OX__XOO,Win,1
_XOO__OXX,Win,1
__XX_XOOO,Lose,0
__OO_O_XX,Win,1
_____OXXO,Lose,3
OOXOO_X_X,Win,1
OOXO__XOX,Win,1
XXOX__O_O,Lose,2
__X__OXOO,Win,1
X_OXXOOXO,Lose,0
_OXXOOX_O,Win,1
__OOXXO_X,Win,1
O_XOO_XOX,Win,1
O_XOOOX_X,Lose,0
X_OXX_O_O,Win,1
__X_O_XOO,Lose,2
_XOO_XO_X,Lose,2
O_XO_OXOX,Win,1
X_OX__OXO,Lose,2
__XO__XOO,Win,1
X_OX_XO_O,Win,1
__XO_OX_O,Win,1
O_X___XOO,Win,1
__O___OXX,Win,2
_OOXOOX_X,Win,1
_OOX_OXOX,Win,1
_XXO_XO_O,Win,1
__XX_O_OO,Win,2
__OXOOXOX,Win,1
__XOXXO_O,Lose,2
__OXOO__X,Win,2
__XO_XOXO,Tie,3
__OX_O_OX,Win,3
__XO_X__O,Tie,5
__XO__OOX,Win,1
__O_OOX_X,Win,1
__O__OXOX,Win,3
O_O__OX_X,Win,1
__OO_OX_X,Win,1
__X__XO_O,Lose,4
______OOX,Win,4
_XXOO__XO,Win,1
O_XOXOO_X,Lose,0
_OOOX_XOX,Win,1
__OXOXX_O,Win,1
___OXOO_X,Win,1
__O_XOX_O,Lose,0
_OOXXOX_O,Lose,0
_X_XOOX_O,Win,1
_XXXO_O_O,Win,1
__XOX__OO,Win,1
__OOX_O_X,Win,1
____OXO_X,Win,1
_XXOX__OO,Win,1
__OXXOX_O,Lose,0
___OOXO_X,Win,1
__OX_OX_O,Lose,0
_XXX__OOO,Lose,0
_O_O_XO_X,Win,1
___X_OX_O,Win,1
_OOXO_XOX,Lose,0
_XXOX_O_O,Win,1
__XXO__OO,Lose,2
